Restaurant_Name,Cusines,Ratings,Location,Delivery_review_no,Restaurant_link,Price_for_one
Veena Stores,South Indian,4.6,malleswaram,2,https://www.swiggy.com/restaurants/veena-stores-margosa-road-malleshwaram-bangalore-2415,50
Priyadarshini Grand,North Indian,4.5,basaveshwaranagar,2,https://www.swiggy.com/restaurants/priyadarshini-grand-siddhaiah-puranik-road-basaveshwara-nagar-bangalore-47385,100
Paakashala,Indian,4,basavanagudi,2,https://www.swiggy.com/restaurants/paakashala-chamarajpet-basavanagudi-bangalore-743427,250
Sri Vishnu Grand Veg,North Indian,4.1,majestic,2,https://www.swiggy.com/restaurants/sri-vishnu-grand-veg-gandhi-nagar-majestic-bangalore-625034,100
Vidyarthi Bhavan,South Indian,4.3,basavanagudi,3,https://www.swiggy.com/restaurants/vidyarthi-bhavan-gandhi-bazaar-main-road-basavanagudi-bangalore-3883,75
Brahmin's Coffee Bar,South Indian,4.7,basavanagudi,3,https://www.swiggy.com/restaurants/brahmins-coffee-bar-shankarapura-basavanagudi-bangalore-111261,50
Cafe Amudham,Snacks,4.5,j.p nagar,3,https://www.swiggy.com/restaurants/cafe-amudham-lalbhagh-siddapura-jayanagar-bangalore-684427,200
Lavonne,Desserts,4.6,st marks road,4,https://www.swiggy.com/restaurants/lavonne-st-marks-road-bangalore-281469,375
Jose Mess,Indian,4.3,tavarekere,4,https://www.swiggy.com/restaurants/jose-mess-sg-palya-tavarekere-bangalore-300804,100
Ayodhya Upachar,North Indian,4.3,banashankari,4,https://www.swiggy.com/restaurants/ayodhya-upachar-kathriguppe-banashankari-bangalore-46647,100
Sree Krishna Kafe,South Indian,4.5,koramangala,4,https://www.swiggy.com/restaurants/sree-krishna-kafe-5th-block-koramangala-bangalore-325,68.5
Halli Jonne Biriyani,Biryani,4.3,j.p nagar,5,https://www.swiggy.com/restaurants/halli-jonne-biriyani-4th-t-block-jayanagar-bangalore-145076,150
Arogya Ahaara,North Indian,4.4,j.p nagar,5,https://www.swiggy.com/restaurants/arogya-ahaara-1st-phase-jp-nagar-bangalore-504194,75
Indraprastha Vegetarian,North Indian,4.3,vijayanagar,5,https://www.swiggy.com/restaurants/indraprastha-vegetarian-mc-layout-vijayanagar-bangalore-48677,150
Udupi Ruchi Grand,Chinese,4,banashankari,6,https://www.swiggy.com/restaurants/udupi-ruchi-grand-3rd-stage-banashankari-bangalore-82154,75
Third Wave Coffee,Bakery,4.3,ashok nagar,6,https://www.swiggy.com/restaurants/third-wave-coffee-lavelle-road-ashok-nagar-bangalore-533773,200
